postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,riskLabel,medianPrice,historicallyFlooded
DA16 3HF,546532,175952,Unsurveyed/Urban,50,,2390.0,Bexley,1,389400.0,0
DA16 3HN,546512,176157,Unsurveyed/Urban,50,,2190.0,Bexley,1,344800.0,0
DA16 3HQ,546640,176206,Unsurveyed/Urban,50,,2150.0,Bexley,1,139000.0,0
DA16 3HR,546137,176302,Unsurveyed/Urban,50,,2060.0,Bexley,1,385600.0,0
DA16 3HZ,546315,176192,Unsurveyed/Urban,50,,2150.0,Bexley,1,421200.0,0
DA16 3JF,546360,176546,Unsurveyed/Urban,50,,1800.0,Bexley,1,341000.0,0
DA16 3JG,546355,176405,Unsurveyed/Urban,50,,1940.0,Bexley,1,358800.0,0
DA16 3JN,545724,176603,Unsurveyed/Urban,50,,1870.0,Bexley,2,392900.0,0
DA16 3JQ,546527,176530,Unsurveyed/Urban,50,,1820.0,Bexley,1,303500.0,0
DA16 3JS,545916,176330,Unsurveyed/Urban,60,,2070.0,Bexley,1,381500.0,0
DA16 3JY,545757,176341,Unsurveyed/Urban,60,,680.0,Bexley,1,382400.0,0
DA16 3LD,545526,176291,Unsurveyed/Urban,60,,560.0,Bexley,1,344500.0,0
DA16 3LJ,545400,176300,Unsurveyed/Urban,60,,490.0,Bexley,1,344700.0,0
DA16 3LR,545917,176515,Unsurveyed/Urban,50,,1890.0,Bexley,1,381800.0,0
DA16 3LS,545760,176506,Unsurveyed/Urban,60,,1950.0,Bexley,1,318900.0,0
DA16 3LU,545739,176535,Unsurveyed/Urban,50,,1930.0,Bexley,2,369400.0,0
DA16 3NB,545533,176820,Unsurveyed/Urban,50,,1760.0,Bexley,1,402000.0,0
DA16 3NQ,545604,176783,Unsurveyed/Urban,50,,1760.0,Bexley,1,391800.0,0
DA16 3NR,545405,176148,Unsurveyed/Urban,60,,770.0,Bexley,1,378600.0,0
DA16 3NS,545458,176593,Unsurveyed/Urban,60,,300.0,Bexley,1,326900.0,0
DA16 3NU,545371,176725,Leptosols,50,,170.0,Bexley,1,345400.0,0
DA16 3QA,546286,175931,Unsurveyed/Urban,50,,2420.0,Bexley,1,204500.0,0
DA16 3QL,546383,175953,Unsurveyed/Urban,50,,2390.0,Bexley,1,396200.0,0
DA16 3QQ,546100,176006,Unsurveyed/Urban,50,,2360.0,Bexley,1,399500.0,0
DA16 3QZ,545160,176220,Unsurveyed/Urban,60,,520.0,Bexley,1,537200.0,0
DA16 3RB,545811,176010,Unsurveyed/Urban,50,,1190.0,Bexley,2,352200.0,0
DA16 3RF,545600,176500,Unsurveyed/Urban,60,,470.0,Bexley,1,369200.0,0
DA16 3RL,544964,176157,Unsurveyed/Urban,60,,340.0,Bexley,2,387100.0,0
DA16 3RW,544966,176211,Unsurveyed/Urban,60,,320.0,Bexley,2,359400.0,0
DA17 5AF,548974,178844,Unsurveyed/Urban,20,,1080.0,Bexley,1,301200.0,0
DA17 5AJ,549253,178807,Unsurveyed/Urban,20,,1100.0,Bexley,1,338400.0,0
DA17 5AR,549245,178977,Unsurveyed/Urban,10,,930.0,Bexley,3,258500.0,0
DA17 5AU,549377,178970,Unsurveyed/Urban,10,,960.0,Bexley,3,309300.0,0
DA17 5AZ,549190,178798,Unsurveyed/Urban,20,,1110.0,Bexley,1,326700.0,0
DA17 5BA,549146,178668,Unsurveyed/Urban,40,,1240.0,Bexley,1,308800.0,0
DA17 5BB,549093,178641,Unsurveyed/Urban,40,,1270.0,Bexley,1,294300.0,0
DA17 5BD,549064,178655,Unsurveyed/Urban,40,,1250.0,Bexley,1,471600.0,0
DA17 5BE,549031,178611,Unsurveyed/Urban,40,,1300.0,Bexley,1,298600.0,0
DA17 5BP,549156,178580,Unsurveyed/Urban,40,,1330.0,Bexley,1,276600.0,0
DA17 5BQ,548973,178486,Unsurveyed/Urban,50,,1430.0,Bexley,1,263900.0,0
DA17 5BT,549082,178463,Unsurveyed/Urban,50,,1450.0,Bexley,1,243700.0,0
DA17 5BZ,549021,178737,Unsurveyed/Urban,30,,1180.0,Bexley,1,174800.0,0
DA17 5DH,547741,178947,Unsurveyed/Urban,10,,1460.0,Bexley,4,289000.0,0
DA17 5DR,548475,178957,Unsurveyed/Urban,10,,1170.0,Bexley,3,280400.0,0
DA17 5DZ,548655,178182,Unsurveyed/Urban,60,,2250.0,Bexley,2,310600.0,0
DA17 5EB,549248,178560,Unsurveyed/Urban,50,,1350.0,Bexley,2,453800.0,0
DA17 5EU,548773,178531,Unsurveyed/Urban,50,,1430.0,Bexley,1,314900.0,0
DA17 5EX,548820,178538,Unsurveyed/Urban,50,,1410.0,Bexley,1,321500.0,0
DA17 5GD,548584,178162,Unsurveyed/Urban,60,,2180.0,Bexley,1,293200.0,0
DA17 5HB,548799,178435,Unsurveyed/Urban,50,,1510.0,Bexley,1,329300.0,0
DA17 5HF,548904,178628,Unsurveyed/Urban,40,,1300.0,Bexley,1,2400.0,0
DA17 5HR,548578,178337,Leptosols,50,,2170.0,Bexley,1,305200.0,0
DA17 5HT,548794,178619,Unsurveyed/Urban,40,,1340.0,Bexley,1,309100.0,0
DA17 5JA,549257,178137,Unsurveyed/Urban,50,,1770.0,Bexley,1,301600.0,0
DA17 5JJ,549119,178158,Unsurveyed/Urban,50,,1750.0,Bexley,1,289200.0,0
DA17 5LN,548829,178089,Unsurveyed/Urban,50,,2430.0,Bexley,1,297000.0,0
DA17 5LT,548859,178183,Unsurveyed/Urban,50,,1750.0,Bexley,1,292700.0,0
DA17 5LX,548918,178163,Unsurveyed/Urban,50,,1760.0,Bexley,1,287000.0,0
DA17 5ND,549331,177992,Unsurveyed/Urban,40,,1920.0,Bexley,1,302800.0,0
DA17 5NR,548647,177891,Unsurveyed/Urban,60,,2280.0,Bexley,1,378400.0,0
DA17 5NS,548667,178002,Unsurveyed/Urban,60,,2280.0,Bexley,2,285400.0,0
DA17 5NU,548747,177890,Unsurveyed/Urban,50,,2380.0,Bexley,1,331100.0,0
DA17 5NX,548842,177849,Unsurveyed/Urban,50,,2480.0,Bexley,2,323400.0,0
DA17 5NZ,548793,177744,Unsurveyed/Urban,50,,2460.0,Bexley,1,285200.0,0
DA17 5PB,548461,177845,Unsurveyed/Urban,60,,2110.0,Bexley,1,427500.0,0
DA17 5PD,548601,177807,Unsurveyed/Urban,60,,2250.0,Bexley,2,286300.0,0
DA17 5PQ,548504,177612,Unsurveyed/Urban,50,,2220.0,Bexley,2,361800.0,0
DA17 5PR,549312,179065,Unsurveyed/Urban,10,,860.0,Bexley,4,335200.0,0
DA17 5PY,549318,179105,Unsurveyed/Urban,10,,820.0,Bexley,4,323700.0,0
DA17 5QF,549334,179154,Unsurveyed/Urban,10,,770.0,Bexley,4,321600.0,0
DA17 5QJ,549321,178874,Unsurveyed/Urban,20,,1050.0,Bexley,1,286900.0,0
DA17 5QQ,549418,179138,Unsurveyed/Urban,10,,810.0,Bexley,4,315500.0,0
DA17 5QR,549322,178503,Unsurveyed/Urban,50,,1410.0,Bexley,1,298400.0,0
DA17 5QZ,548700,179000,Unsurveyed/Urban,10,,1010.0,Bexley,3,305500.0,0
DA17 5RH,548019,179008,Unsurveyed/Urban,10,,1740.0,Bexley,4,285700.0,0
DA17 5RR,548364,179013,Unsurveyed/Urban,10,,1190.0,Bexley,4,315200.0,0
DA17 5RX,548419,179028,Unsurveyed/Urban,10,,1150.0,Bexley,4,285000.0,0
DA17 5RY,548524,179024,Unsurveyed/Urban,10,,1090.0,Bexley,4,304000.0,0
DA17 6AA,550031,179106,Unsurveyed/Urban,10,,490.0,Bexley,4,327300.0,1
DA17 6AQ,550124,179721,Unsurveyed/Urban,10,,150.0,Bexley,4,304500.0,1
DA17 6AU,549993,179288,Unsurveyed/Urban,10,,330.0,Bexley,2,280300.0,1
DA17 6BE,550100,179881,Unsurveyed/Urban,10,,350.0,Bexley,3,320400.0,1
DA17 6BJ,549973,179338,Unsurveyed/Urban,10,,300.0,Bexley,1,371600.0,1
DA17 6BL,550196,179802,Unsurveyed/Urban,10,,470.0,Bexley,3,290600.0,1
DA17 6BN,550300,180400,Unsurveyed/Urban,10,,490.0,Bexley,1,321600.0,1
DA17 6BW,550300,180500,Unsurveyed/Urban,10,,550.0,Bexley,1,281500.0,1
DA17 6BX,550500,180000,Unsurveyed/Urban,10,,320.0,Bexley,1,301100.0,1
DA17 6BY,550500,180100,Unsurveyed/Urban,10,,630.0,Bexley,1,333800.0,1
DA17 6DP,549575,178903,Unsurveyed/Urban,20,,1090.0,Bexley,1,357000.0,0
DA17 6DT,550145,178927,Unsurveyed/Urban,10,,650.0,Bexley,3,325000.0,0
DA17 6DX,550207,178904,Unsurveyed/Urban,10,,670.0,Bexley,3,322500.0,0
DA17 6DY,549594,179008,Unsurveyed/Urban,10,,1000.0,Bexley,3,291900.0,0
DA17 6EA,550329,178861,Unsurveyed/Urban,10,,730.0,Bexley,3,263500.0,0
DA17 6EG,549400,178900,Unsurveyed/Urban,20,,1040.0,Bexley,3,313100.0,0
DA17 6EJ,549520,179030,Unsurveyed/Urban,10,,950.0,Bexley,3,304200.0,0
DA17 6EX,549406,178436,Unsurveyed/Urban,50,,1490.0,Bexley,2,283400.0,0
DA17 6FD,549782,179765,Unsurveyed/Urban,10,,390.0,Bexley,4,308600.0,1
DA17 6FF,549721,179713,Unsurveyed/Urban,10,,460.0,Bexley,3,240400.0,1
DA17 6FH,549759,179831,Unsurveyed/Urban,10,,340.0,Bexley,3,285300.0,1
DA17 6GZ,549749,179597,Unsurveyed/Urban,10,,560.0,Bexley,4,298400.0,1
DA17 6HB,549404,178303,Unsurveyed/Urban,50,,1620.0,Bexley,1,184400.0,0
DA17 6HJ,549886,178344,Unsurveyed/Urban,40,,1260.0,Bexley,1,321300.0,0
DA17 6HQ,549669,178249,Unsurveyed/Urban,40,,1730.0,Bexley,1,308000.0,0
DA17 6HR,549869,178502,Unsurveyed/Urban,40,,1110.0,Bexley,1,309700.0,0
DA17 6JA,550345,178554,Unsurveyed/Urban,30,,1040.0,Bexley,1,331200.0,0
DA17 6JB,549550,178692,Unsurveyed/Urban,50,,1280.0,Bexley,2,301900.0,0
DA17 6JH,549400,179100,Unsurveyed/Urban,10,,840.0,Bexley,3,335600.0,0
DA17 6JJ,549498,179118,Unsurveyed/Urban,10,,860.0,Bexley,4,316400.0,0
DA17 6JS,549670,179327,Unsurveyed/Urban,10,,770.0,Bexley,4,347700.0,1
DA17 6JY,549875,180603,Unsurveyed/Urban,10,,460.0,Bexley,1,293700.0,1
DA17 6JZ,549600,180500,Unsurveyed/Urban,10,,450.0,Bexley,1,321000.0,1
DA17 6LH,549384,178755,Unsurveyed/Urban,40,,1170.0,Bexley,1,337900.0,0
DA17 6LU,549359,177809,Unsurveyed/Urban,40,,2110.0,Bexley,1,180000.0,0
DA17 6LW,549381,177612,Unsurveyed/Urban,40,,2310.0,Bexley,1,294100.0,0
DA17 6LX,549148,177730,Unsurveyed/Urban,40,,2800.0,Bexley,1,311200.0,0
DA17 6LZ,549289,177584,Unsurveyed/Urban,40,,2980.0,Bexley,1,295500.0,0
DA17 6ND,549178,177832,Unsurveyed/Urban,40,,2070.0,Bexley,1,322000.0,0
DA17 6NH,549551,178203,Unsurveyed/Urban,40,,1750.0,Bexley,1,313100.0,0
DA17 6NN,549500,178100,Unsurveyed/Urban,40,,1840.0,Bexley,1,335600.0,0
DA17 6NQ,549119,177586,Unsurveyed/Urban,50,,2810.0,Bexley,2,283600.0,0
DA17 6NR,549439,178005,Unsurveyed/Urban,30,,1920.0,Bexley,1,340400.0,0
DA18 4AA,549292,179677,Unsurveyed/Urban,10,,270.0,Bexley,1,281500.0,1
DA18 4AD,552581,177563,Leptosols,10,,580.0,Bexley,3,280500.0,1
DA18 4AF,548970,179216,Unsurveyed/Urban,10,,710.0,Bexley,3,280000.0,1
DA18 4AG,548793,179761,Unsurveyed/Urban,10,,390.0,Bexley,2,279500.0,1
DA18 4AJ,548982,179620,Unsurveyed/Urban,10,,340.0,Bexley,1,263600.0,1
DA18 4AN,549476,179616,Unsurveyed/Urban,10,,430.0,Bexley,3,251200.0,1
DA18 4AQ,547966,179285,Unsurveyed/Urban,10,,1820.0,Bexley,3,278200.0,1
DA18 4AU,549413,179745,Unsurveyed/Urban,10,,300.0,Bexley,1,259000.0,1
DA18 4BA,548108,179497,Unsurveyed/Urban,0,,740.0,Bexley,3,275900.0,1
DA18 4BJ,548039,179587,Unsurveyed/Urban,0,,630.0,Bexley,4,270700.0,1
DA18 4BQ,548133,179534,Unsurveyed/Urban,0,,730.0,Bexley,4,283400.0,1
DA18 4DD,548204,179378,Unsurveyed/Urban,10,,890.0,Bexley,4,283300.0,1
DA18 4DL,548103,179158,Unsurveyed/Urban,10,,1880.0,Bexley,4,216600.0,1
DA18 4DP,548282,179340,Unsurveyed/Urban,10,,1040.0,Bexley,4,262500.0,1
DA18 4DS,547929,179817,Unsurveyed/Urban,0,,400.0,Bexley,4,338000.0,1
DA18 4DT,547945,179863,Unsurveyed/Urban,0,,390.0,Bexley,4,274900.0,1
DA18 4HN,548514,179281,Unsurveyed/Urban,10,,900.0,Bexley,4,289400.0,1
DA18 4HQ,548451,179383,Unsurveyed/Urban,10,,880.0,Bexley,4,282000.0,1
DA18 4HS,548656,179248,Unsurveyed/Urban,10,,830.0,Bexley,4,316400.0,1
DA18 4HT,548814,179354,Unsurveyed/Urban,10,,650.0,Bexley,4,250700.0,1
DA18 4HY,548770,179296,Unsurveyed/Urban,10,,720.0,Bexley,4,271700.0,1
DA18 4TT,547953,179581,Unsurveyed/Urban,0,,580.0,Bexley,3,282600.0,1
DA18 4XP,548205,179402,Unsurveyed/Urban,10,,880.0,Bexley,3,271600.0,1
DT10 1AB,379350,114808,Unsurveyed/Urban,60,Chivrick's Brook,520.0,Dorset,1,452800.0,0
DT10 1AL,379313,114585,Unsurveyed/Urban,60,Chivrick's Brook,550.0,Dorset,1,437000.0,0
DT10 1AQ,379458,114791,Leptosols,60,Chivrick's Brook,410.0,Dorset,1,459600.0,0
DT10 1AR,378676,114126,Unsurveyed/Urban,60,River Stour,450.0,Dorset,1,509100.0,0
DT10 1AX,378593,114170,Unsurveyed/Urban,60,River Stour,360.0,Dorset,1,262500.0,0
DT10 1AY,378492,114198,Unsurveyed/Urban,60,River Stour,260.0,Dorset,1,466700.0,0
DT10 1BD,378810,114264,Unsurveyed/Urban,60,River Stour,530.0,Dorset,1,428300.0,0
DT10 1BY,378570,114046,Unsurveyed/Urban,60,River Stour,420.0,Dorset,1,297900.0,0
DT10 1DD,378930,114082,Leptosols,50,River Stour,560.0,Dorset,1,442200.0,0
DT10 1DH,378666,113955,Unsurveyed/Urban,60,River Stour,700.0,Dorset,1,306000.0,0
DT10 1DL,378838,114280,Unsurveyed/Urban,50,River Stour,560.0,Dorset,1,497900.0,0
DT10 1DR,378716,114889,Unsurveyed/Urban,70,River Stour,690.0,Dorset,1,521700.0,0
DT10 1DS,378698,114686,Unsurveyed/Urban,60,River Stour,530.0,Dorset,2,498400.0,0
DT10 1DT,378725,115024,Unsurveyed/Urban,70,River Stour,800.0,Dorset,1,514000.0,0
DT10 1DW,378812,114853,Unsurveyed/Urban,60,River Stour,730.0,Dorset,1,255300.0,0
DT10 1DX,378639,114536,Unsurveyed/Urban,70,River Stour,400.0,Dorset,2,490300.0,0
DT10 1EB,378610,114797,Unsurveyed/Urban,60,River Stour,550.0,Dorset,2,444300.0,0
DT10 1ED,378642,114989,Unsurveyed/Urban,60,River Stour,730.0,Dorset,2,505200.0,0
DT10 1EE,378556,114224,Unsurveyed/Urban,60,River Stour,300.0,Dorset,1,202100.0,0
DT10 1EL,378609,114558,Unsurveyed/Urban,70,River Stour,380.0,Dorset,2,453800.0,0
DT10 1EN,378598,114691,Unsurveyed/Urban,60,River Stour,460.0,Dorset,2,333300.0,0
DT10 1EP,378837,114718,Unsurveyed/Urban,60,River Stour,660.0,Dorset,1,483500.0,0
DT10 1ER,378666,114392,Unsurveyed/Urban,70,River Stour,380.0,Dorset,2,249000.0,0
DT10 1ET,378763,114766,Unsurveyed/Urban,60,River Stour,630.0,Dorset,2,236100.0,0
DT10 1EU,378795,114715,Unsurveyed/Urban,60,River Stour,630.0,Dorset,2,457900.0,0
DT10 1EW,378930,114881,Leptosols,60,River Stour,830.0,Dorset,1,189000.0,0
DT10 1FA,378724,114118,Unsurveyed/Urban,60,River Stour,500.0,Dorset,1,431200.0,0
DT10 1FH,378704,114289,Unsurveyed/Urban,60,River Stour,420.0,Dorset,1,482400.0,0
DT10 1FP,378879,114218,Unsurveyed/Urban,50,River Stour,700.0,Dorset,1,430400.0,0
DT10 1HD,381264,117024,Stagnosols,60,Key Brook,1080.0,Dorset,2,5264500.0,0
DT10 1HF,380318,118329,Stagnosols,60,Key Brook,1900.0,Dorset,1,5904000.0,0
DT10 1HL,379824,119403,Stagnosols,60,River Stour,3260.0,Dorset,1,509800.0,0
DT10 1HY,379579,120373,Leptosols,70,River Stour,2420.0,Dorset,1,464700.0,0
DT10 1JB,380425,120509,Stagnosols,70,Key Brook,2020.0,Dorset,1,623000.0,0
DT10 1JE,379099,114811,Unsurveyed/Urban,60,Chivrick's Brook,770.0,Dorset,1,493300.0,0
DT10 1JJ,377321,119480,Planosols,90,River Stour,2370.0,Dorset,1,145200.0,0
DT10 1JL,377296,119395,Planosols,90,River Stour,2460.0,Dorset,1,303500.0,0
DT10 1JN,377055,119495,Planosols,80,River Stour,2410.0,Dorset,2,466200.0,0
DT10 1JQ,378667,119142,Leptosols,60,River Stour,2870.0,Dorset,1,484100.0,0
DT10 1JT,377153,119782,Planosols,80,River Stour,2100.0,Dorset,2,551900.0,0
DT10 1JY,378630,119887,Leptosols,70,River Stour,2180.0,Dorset,1,264500.0,0
DT10 1JZ,378147,119667,Leptosols,70,River Stour,2220.0,Dorset,1,448200.0,0
DT10 1LL,378472,118937,Leptosols,70,River Stour,3010.0,Dorset,1,393100.0,0
DT10 1LN,378467,118785,Leptosols,80,River Stour,3150.0,Dorset,1,463300.0,0
DT10 1LR,376964,119621,Planosols,80,River Stour,2310.0,Dorset,2,397700.0,0
DT10 1LW,378514,118801,Leptosols,80,River Stour,3150.0,Dorset,1,471800.0,0
DT10 1LY,378581,116316,Leptosols,90,River Stour,1410.0,Dorset,1,675400.0,0
DT10 1NA,378565,116155,Leptosols,90,River Stour,1090.0,Dorset,1,468700.0,0
DT10 1ND,378726,116388,Leptosols,90,River Stour,1550.0,Dorset,1,432800.0,0
DT10 1NE,378638,116358,Leptosols,90,River Stour,1470.0,Dorset,1,485500.0,0
DT10 1NR,377221,118403,Planosols,80,River Stour,740.0,Dorset,1,500400.0,0
DT10 1NW,377620,118277,Planosols,80,River Stour,1160.0,Dorset,1,491400.0,0
DT10 1NY,377266,117818,Planosols,90,River Stour,1120.0,Dorset,1,445300.0,0
DT10 1PE,379054,114882,Leptosols,60,Chivrick's Brook,830.0,Dorset,1,298500.0,0
DT10 1PF,379084,114974,Leptosols,60,Chivrick's Brook,820.0,Dorset,1,204800.0,0
DT10 1PL,377530,118925,Planosols,80,River Stour,2910.0,Dorset,1,459300.0,0
DT10 1PS,377805,119219,Leptosols,80,River Stour,2610.0,Dorset,1,333400.0,0
DT10 1PZ,377912,118659,Leptosols,80,River Stour,3180.0,Dorset,1,506400.0,0
DT10 1QD,377644,118512,Cambisols,90,River Stour,1120.0,Dorset,1,475500.0,0
DT10 1QR,377200,119600,Planosols,80,River Stour,2270.0,Dorset,1,434100.0,0
DT10 1RA,378830,114337,Unsurveyed/Urban,60,River Stour,540.0,Dorset,1,144400.0,0
DT10 2AH,374072,109723,Cambisols,80,,1720.0,Dorset,1,891400.0,0
DT10 2AT,375009,109722,Luvisols,100,River Lydden,2730.0,Dorset,1,391500.0,0
DT10 2AW,377559,111065,Stagnosols,80,River Divelish,660.0,Dorset,1,429100.0,0
DT10 2AX,372441,110487,Planosols,70,River Lydden,2230.0,Dorset,1,393200.0,0
DT10 2BE,372599,111483,Planosols,70,River Lydden,1460.0,Dorset,1,1430300.0,0
DT10 2BG,372378,112603,Stagnosols,80,River Lydden,1540.0,Dorset,1,440700.0,0
DT10 2BJ,375005,109607,Luvisols,100,River Lydden,2830.0,Dorset,1,385900.0,0
DT10 2DJ,377991,113090,Leptosols,70,River Divelish,630.0,Dorset,1,278100.0,0
DT10 2DS,374705,108057,Luvisols,100,,890.0,Dorset,1,525500.0,0
DT10 2EA,374857,109225,Luvisols,80,,1590.0,Dorset,1,417100.0,0
DT10 2EB,374722,108843,Luvisols,90,,1220.0,Dorset,1,448400.0,0
DT10 2EF,374232,108392,Luvisols,100,,560.0,Dorset,1,260500.0,0
DT10 2EH,373473,106126,Leptosols,110,,1930.0,Dorset,1,302200.0,0
DT10 2EJ,373374,104716,Planosols,150,,1610.0,Dorset,1,373000.0,0
DT10 2EN,373885,105805,Arenosols,110,,690.0,Dorset,1,353600.0,0
DT10 2EQ,373263,107501,Planosols,90,,760.0,Dorset,4,430000.0,0
DT10 2ES,374237,108306,Luvisols,100,,510.0,Dorset,1,447500.0,0
DT10 2EU,377833,113420,Leptosols,60,River Divelish,500.0,Dorset,1,442800.0,0
DT10 2EX,376761,115840,Planosols,60,River Lydden,1010.0,Dorset,1,2242700.0,0
DT10 2EY,376829,115586,Cambisols,60,River Lydden,1080.0,Dorset,1,393400.0,0
DT10 2FE,374812,108788,Luvisols,90,,1260.0,Dorset,1,423100.0,0
DT10 2FF,374403,108192,Luvisols,100,,610.0,Dorset,1,429600.0,0
DT10 2FJ,373577,117955,Unsurveyed/Urban,70,Bibbern Brook,1660.0,Dorset,1,289100.0,0
DT10 2FP,374340,117458,Stagnosols,60,Bibbern Brook,750.0,Dorset,1,425000.0,0
DT10 2GA,377568,113503,Stagnosols,60,River Divelish,350.0,Dorset,1,381900.0,0
DT10 2HD,378775,112851,Stagnosols,90,,420.0,Dorset,1,389100.0,0
DT10 2HG,378786,112546,Stagnosols,90,,620.0,Dorset,1,376300.0,0
DT10 2HJ,379014,112803,Stagnosols,110,,660.0,Dorset,1,408200.0,0
DT10 2HL,378831,112736,Stagnosols,100,,530.0,Dorset,1,393400.0,0
DT10 2HQ,378609,113391,Leptosols,60,River Stour,730.0,Dorset,3,433100.0,0
DT10 2HR,376605,112730,Stagnosols,70,River Divelish,910.0,Dorset,1,430200.0,0
DT10 2HY,374541,113769,Planosols,70,River Lydden,1710.0,Dorset,1,437000.0,0
DT10 2HZ,374422,113702,Planosols,70,River Lydden,1600.0,Dorset,1,394600.0,0
DT10 2JB,374437,111910,Stagnosols,60,River Lydden,640.0,Dorset,1,422300.0,0
DT10 2JD,373499,113603,Stagnosols,70,River Lydden,1450.0,Dorset,1,340600.0,0
DT10 2JL,371469,115402,Stagnosols,80,,920.0,Dorset,1,398000.0,0
DT10 2JS,371651,114693,Leptosols,70,,230.0,Dorset,1,445200.0,0
DT10 2LS,373308,118326,Leptosols,80,Bibbern Brook,2090.0,Dorset,1,558500.0,0
DT10 2LU,373451,118316,Leptosols,70,Bibbern Brook,1970.0,Dorset,1,411900.0,0
DT10 2LW,373442,117913,Unsurveyed/Urban,80,Bibbern Brook,1760.0,Dorset,1,436300.0,0
DT10 2LY,373333,117950,Unsurveyed/Urban,90,Bibbern Brook,1870.0,Dorset,1,394100.0,0
DT10 2NG,373665,117589,Unsurveyed/Urban,80,Bibbern Brook,1420.0,Dorset,1,406100.0,0
DT10 2NH,373817,117542,Unsurveyed/Urban,70,Bibbern Brook,1260.0,Dorset,1,372400.0,0
DT10 2NR,374010,117820,Stagnosols,70,Bibbern Brook,1230.0,Dorset,1,223700.0,0
DT10 2NS,373867,117656,Stagnosols,70,Bibbern Brook,1260.0,Dorset,1,203000.0,0
DT10 2NU,373789,117871,Stagnosols,70,Bibbern Brook,1440.0,Dorset,1,402600.0,0
DT10 2PT,373659,117266,Unsurveyed/Urban,80,Bibbern Brook,1350.0,Dorset,1,204400.0,0
DT10 2PY,373252,117782,Unsurveyed/Urban,100,Bibbern Brook,1880.0,Dorset,1,445200.0,0
DT10 2QB,374435,108779,Luvisols,90,,980.0,Dorset,1,417000.0,0
DT10 2QD,374138,108299,Luvisols,100,,420.0,Dorset,1,426300.0,0
DT10 2QH,371507,115189,Stagnosols,80,,710.0,Dorset,1,396200.0,0
DT10 2QR,373526,117826,Unsurveyed/Urban,80,Bibbern Brook,1650.0,Dorset,1,500.0,0
DT10 2QS,373161,117626,Unsurveyed/Urban,100,Bibbern Brook,1920.0,Dorset,1,407600.0,0
DT10 2QT,373497,117840,Unsurveyed/Urban,80,Bibbern Brook,1680.0,Dorset,1,214100.0,0
DT10 2QX,373441,117765,Unsurveyed/Urban,90,Bibbern Brook,1700.0,Dorset,1,449400.0,0
DT10 2QZ,373197,117488,Arenosols,100,Bibbern Brook,1850.0,Dorset,1,312700.0,0
DT10 2RF,373369,117803,Unsurveyed/Urban,90,Bibbern Brook,1780.0,Dorset,1,385400.0,0
DT10 2RJ,374371,118296,Stagnosols,60,Bibbern Brook,1350.0,Dorset,1,433300.0,0
DT10 2RP,373788,118157,Gleysols,70,Bibbern Brook,1610.0,Dorset,1,399000.0,0
DT10 2RQ,373626,117949,Unsurveyed/Urban,70,Bibbern Brook,1620.0,Dorset,1,389500.0,0
DT10 2RR,373126,118182,Leptosols,100,Bibbern Brook,2170.0,Dorset,1,391900.0,0
DT10 2RY,375311,119680,Stagnosols,60,,990.0,Dorset,1,142200.0,0
DT10 2SA,371571,117633,Cambisols,120,Bibbern Brook,2210.0,Dorset,1,377600.0,0
DT10 2SE,372693,116825,Stagnosols,80,Bibbern Brook,830.0,Dorset,1,406700.0,0
DT10 2SF,373227,115800,Stagnosols,70,Bibbern Brook,440.0,Dorset,1,878500.0,0
DT10 2SH,374150,115590,Stagnosols,80,River Lydden,1610.0,Dorset,1,399600.0,0
DT10 2SP,375200,119600,Stagnosols,60,,880.0,Dorset,3,379800.0,0
DT10 2SS,374028,118058,Gleysols,60,Bibbern Brook,1370.0,Dorset,1,393200.0,0
DT10 2SU,373464,117865,Unsurveyed/Urban,80,Bibbern Brook,1720.0,Dorset,1,442300.0,0
DT10 2SW,374977,117024,Stagnosols,60,River Lydden,1530.0,Dorset,1,373900.0,0
DT10 2YB,373500,117700,Unsurveyed/Urban,80,Bibbern Brook,1620.0,Dorset,1,407100.0,0
DT10 2YE,374047,114837,Stagnosols,70,Caundle Brook,740.0,Dorset,1,399800.0,0
DT11 0AB,383991,100259,Leptosols,80,,3320.0,Dorset,3,372500.0,0
DT11 0AU,381007,102424,Luvisols,190,,1060.0,Dorset,1,548100.0,0
DT11 0AW,383377,100489,Cambisols,100,,2800.0,Dorset,1,514500.0,0
DT11 0AZ,381208,102185,Luvisols,170,,1580.0,Dorset,1,580200.0,0
DT11 0BE,380941,101243,Leptosols,140,,650.0,Dorset,1,456000.0,0
DT11 0BG,380504,100838,Leptosols,100,,60.0,Dorset,1,521600.0,0
DT11 0BH,380387,101681,Leptosols,120,,220.0,Dorset,3,458400.0,0
DT11 0BL,380776,101919,Leptosols,140,,1180.0,Dorset,1,351000.0,0
DT11 0BP,380607,101777,Leptosols,130,,420.0,Dorset,1,375600.0,0
DT11 0BT,379277,104324,Cambisols,140,,2310.0,Dorset,1,513200.0,0
DT11 0BX,378895,101105,Leptosols,150,Devil's Brook,2090.0,Dorset,1,541800.0,0
DT11 0BZ,379894,102381,Cambisols,120,,280.0,Dorset,1,505400.0,0
DT11 0DA,379897,102382,Cambisols,120,,280.0,Dorset,1,493300.0,0
DT11 0DS,386808,105703,Leptosols,70,River Stour,1920.0,Dorset,1,468400.0,0
DT11 0DT,385800,106020,Cambisols,120,River Stour,2130.0,Dorset,1,461700.0,0
